Model,Stratum,balanced_accuracy,f1
ROCKET,Overall,0.6398,0.5936
ROCKET,1.1PN,0.3333,0.0
ROCKET,1PN,0.4263,0.1429
ROCKET,2.1PN,0.7,0.6667
ROCKET,2PN,0.5528,0.6313
ROCKET,3PN,0.7381,0.5926
ROCKET,>3PN,0.5,0.25
ROCKET,not_vital,0.8957,0.0
LSTMFCN,Overall,0.6687,0.5821
LSTMFCN,1.1PN,0.3333,0.0
LSTMFCN,1PN,0.6699,0.2609
LSTMFCN,2.1PN,0.9,0.8571
LSTMFCN,2PN,0.6128,0.5937
LSTMFCN,3PN,0.8036,0.7059
LSTMFCN,>3PN,0.7,0.5
LSTMFCN,not_vital,0.9816,0.0
ConvTran,Overall,0.6438,0.5982
ConvTran,1.1PN,0.25,0.0
ConvTran,1PN,0.4904,0.1622
ConvTran,2.1PN,0.6,0.6
ConvTran,2PN,0.5497,0.6333
ConvTran,3PN,0.7381,0.5926
ConvTran,>3PN,0.45,0.2222
ConvTran,not_vital,0.908,0.0
